id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
23768169,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,6,2 baths,2,3,$453.00 ,2,1124,3,27,57,202,109,47,1,4.67,4.66,4.84,4.66,4.89,4.75,4.08
23769059,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,4,2 baths,2,2,$471.00 ,2,1124,24,42,72,302,93,18,0,4.67,4.78,4.78,4.7,4.87,4.74,2.21
23771646,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,6,2 baths,2,3,$519.00 ,2,1124,6,36,66,212,85,41,0,4.62,4.72,4.74,4.56,4.91,4.61,2.16
23784552,175643241,2/27/2018,within an hour,t,1,t,t,Entire townhouse,2,1 bath,1,1,$100.00 ,1,90,1,8,23,87,227,44,3,4.95,4.98,4.93,4.98,4.96,4.92,7.34
23808109,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,4,1 bath,1,2,$189.00 ,2,1124,28,58,88,320,29,4,0,4.48,4.45,4.55,4.45,4.72,4.48,1.12
23809077,177335025,3/8/2018,within an hour,t,1,t,f,Entire residential home,6,1 bath,3,4,$321.00 ,4,1125,22,37,66,87,105,23,1,4.93,4.99,4.77,4.97,4.99,4.89,2.68
23812242,99430572,10/12/2016,within an hour,f,34,t,f,Entire rental unit,2,1 bath,1,3,$240.00 ,3,1125,26,56,86,86,44,11,0,4.82,4.91,4.93,4.66,4.95,4.89,1.2
23824434,98845300,10/8/2016,within an hour,f,2,t,t,Entire condominium (condo),2,1 bath,1,2,$114.00 ,2,1125,4,6,6,6,138,45,4,4.93,4.99,4.91,4.94,4.94,4.87,3.48
23878151,3968677,10/24/2012,within an hour,t,1,t,t,Entire rental unit,4,1 bath,2,2,$125.00 ,2,28,3,20,43,285,62,11,1,4.82,4.92,4.73,4.95,4.79,4.87,1.79
23894338,163630059,12/21/2017,within an hour,f,2,t,t,Entire residential home,5,2 baths,2,3,$177.00 ,2,1125,8,15,19,179,71,6,3,4.76,4.89,4.85,4.93,4.92,4.72,3.43
23896821,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,4,2 baths,2,2,$218.00 ,2,1124,16,44,70,300,54,11,1,4.56,4.65,4.63,4.72,4.8,4.44,1.32
23916036,179764769,3/21/2018,within a few hours,f,3,t,t,Entire rental unit,2,1 bath,1,1,$77.00 ,30,1125,0,9,9,9,135,4,0,4.84,4.92,4.85,4.91,4.98,4.89,4.2
23917748,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,2,1 bath,1,1,$148.00 ,2,1125,15,40,70,302,46,10,0,4.24,4.58,4.42,4.56,4.64,4.36,1.24
23935301,735287,6/23/2011,within an hour,f,2,t,t,Entire residential home,6,2 baths,3,4,$149.00 ,4,1125,21,51,73,107,64,15,0,4.56,4.77,4.66,4.88,4.58,4.63,2.59
